# Generated from Skretzo/shortest-path transport TSV files.
# Columns: category	source	destination	label	duration	skills	quests	items	varbits	varplayers	wildernessLevel	confidence	provenance
# duration is in game ticks (floored at 1). Blank requirement fields mean no requirement recorded upstream.
# confidence tiers: INHERITED from upstream, INFERRED from cache-derived generation, CONFIRMED from live/manual proof, CONTRADICTED for known disagreements.
AGILITY_SHORTCUT	1270,3002,0	1274,3002,0	Climb Rock 57604	4	Agility=43					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1274,3002,0	1270,3002,0	Climb Rock 57604	4	Agility=43					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1283,3138,0	1283,3147,0	Walk-across Log balance 57593	10	Agility=40					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1283,3147,0	1283,3138,0	Walk-across Log balance 57593	10	Agility=40					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1324,3777,0	1324,3785,0	Climb Rocks 34397	8	Agility=29					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1324,3785,0	1324,3777,0	Climb Rocks 34397	8	Agility=29					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1324,3787,0	1324,3795,0	Climb Rocks 34396	8	Agility=62					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1324,3795,0	1324,3787,0	Climb Rocks 34396	8	Agility=62					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1338,2917,0	1343,2917,0	Climb Rock 54776	4	Agility=54					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1343,2917,0	1338,2917,0	Climb Rock 54776	4	Agility=54					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1368,3323,0	1368,3327,0	Climb-into Tunnel 56989	5	Agility=33					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1368,3327,0	1368,3323,0	Climb-into Tunnel 56989	5	Agility=33					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1369,3294,0	1369,3296,0	Climb-over Broken wall 56996	2	Agility=24					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1369,3296,0	1369,3294,0	Climb-over Broken wall 56996	2	Agility=24					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1387,3301,0	1387,3303,0	Climb-over Broken wall 56996	2	Agility=24					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1387,3303,0	1387,3301,0	Climb-over Broken wall 56996	2	Agility=24					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1389,3309,0	1391,3309,0	Climb-over Broken wall 56997	2	Agility=24					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1391,3309,0	1389,3309,0	Climb-over Broken wall 56997	2	Agility=24					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1391,3323,0	1396,3323,0	Climb Rocks 56994	6	Agility=41					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1393,3309,0	1399,3309,0	Cross Stepping stone 56988	7	Agility=36					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1396,3323,0	1391,3323,0	Climb Rocks 56994	6	Agility=41					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1399,3309,0	1393,3309,0	Cross Stepping stone 56988	7	Agility=36					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1401,3283,0	1401,3291,0	Walk-across Log balance 56990	9	Agility=45					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1401,3291,0	1401,3283,0	Walk-across Log balance 56990	9	Agility=45					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1453,3329,0	1453,3336,0	Walk-across Log balance 56991	8	Agility=45					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1453,3336,0	1453,3329,0	Walk-across Log balance 56991	8	Agility=45					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1455,3128,0	1465,3128,0	Climb Rocks 51931	8	Agility=47					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1465,3128,0	1455,3128,0	Climb Rocks 51931	8	Agility=47					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1576,3254,0	1581,3249,0	Climb Rock 56980	8	Agility=71					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1581,3249,0	1576,3254,0	Climb Rock 56980	1	Agility=71					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1586,3261,0	1591,3257,0	Climb Rock 56983	1	Agility=45					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1587,3262,0	1591,3257,0	Climb Rock 56983	1	Agility=45					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1590,3257,0	1586,3262,0	Climb Rock 56983	8	Agility=45					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1591,3258,0	1586,3262,0	Climb Rock 56983	8	Agility=45					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1603,3571,0	1607,3571,0	Cross Stepping stone 29730	2	Agility=40					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1607,3571,0	1603,3571,0	Cross Stepping stone 29730	2	Agility=40					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1609,10061,0	1613,10070,0	Jump-to Stone 28893	1	Agility=28					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1610,3570,0	1614,3570,0	Cross Stepping stone 29729	2	Agility=40					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1613,10070,0	1609,10061,0	Jump-to Stone 28893	1	Agility=28					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1614,3570,0	1610,3570,0	Cross Stepping stone 29729	2	Agility=40					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1645,10000,0	1647,10010,0	Squeeze-through Crack 28892	1	Agility=17					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1647,10010,0	1645,10000,0	Squeeze-through Crack 28892	1	Agility=17					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1686,9755,0	1688,9755,0	Climb Rock 31698	4	Agility=1					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1687,9801,0	1689,9801,0	Climb Rock 31679	4	Agility=18					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1689,9801,0	1687,9801,0	Climb Rock 31679	4	Agility=18					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1702,9800,0	1708,9800,0	Cross Stepping stone 31699	8	Agility=18					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1706,10078,0	1716,10056,0	Squeeze-through Crack 28892	2	Agility=17					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1708,9800,0	1702,9800,0	Cross Stepping stone 31699	8	Agility=18					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1711,9820,0	1711,9824,0	Enter Crevice 31696	2	Agility=18					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1711,9824,0	1711,9820,0	Enter Crevice 31695	2	Agility=18					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1716,10056,0	1706,10078,0	Squeeze-through Crack 28892	2	Agility=17					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1720,3551,0	1724,3551,0	Cross Stepping stone 29728	2	Agility=45					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1724,3551,0	1720,3551,0	Cross Stepping stone 29728	2	Agility=45					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1742,3854,0	1752,3854,0	Climb Rocks 27984	4	Agility=73					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1761,3872,0	1761,3874,0	Climb Rocks 34741	2	Agility=69					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1761,3874,0	1761,3872,0	Climb Rocks 34741	2	Agility=69					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1769,3849,0	1774,3849,0	Climb Rocks 27988	1	Agility=52					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1774,3849,0	1769,3849,0	Climb Rocks 27988	1	Agility=52					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1776,3884,0	1776,3880,0	Jump Boulder 27990	4	Agility=49					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1820,9944,0	1820,9946,0	Jump-over Strange floor 3483	4	Agility=63					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1820,9945,0	1820,9947,0	Jump-over Strange floor 34834	2	Agility=63					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1820,9946,0	1820,9944,0	Jump-over Strange floor 3483	4	Agility=63					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1820,9947,0	1820,9945,0	Jump-over Strange floor 34834	2	Agility=63					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1981,8994,1	1981,8998,1	Jump-to Pillar 31809	5	Agility=15			6076=1		-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1981,8998,1	1981,8994,1	Jump-to Pillar 31809	5	Agility=15			6076=1		-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	1981,8999,1	1981,8994,1	Jump-to Pillar 31809	6	Agility=15			6076=1		-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2154,3072,0	2160,3072,0	Cross Stepping stone 10663	6	Agility=76				328=15	-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2160,3072,0	2154,3072,0	Cross Stepping stone 10663	6	Agility=76				328=15	-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2181,3208,0	2181,3212,0	Pass Sticks 3922	6	Agility=1					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2181,3212,0	2181,3208,0	Pass Sticks 3922	6	Agility=1					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2188,3162,0	2188,3165,0	Enter Dense forest 3999	4	Agility=56					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2188,3165,0	2188,3162,0	Enter Dense forest 3999	4	Agility=56					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2188,3165,0	2188,3168,0	Enter Dense forest 3939	4	Agility=56					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2188,3168,0	2188,3165,0	Enter Dense forest 3939	4	Agility=56					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2188,3168,0	2188,3171,0	Enter Dense forest 3998	4	Agility=56					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2188,3171,0	2188,3168,0	Enter Dense forest 3998	4	Agility=56					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2196,3237,0	2202,3237,0	Cross Log balance 3931	8	Agility=45					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2199,3169,0	2202,3169,0	Pass Sticks 3922	6	Agility=1					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2202,3169,0	2199,3169,0	Pass Sticks 3922	6	Agility=1					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2202,3237,0	2196,3237,0	Cross Log balance 3931	8	Agility=45					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2209,3201,0	2209,3205,0	Jump Leaves 3925	4	Agility=1					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2209,3205,0	2209,3201,0	Jump Leaves 3925	4	Agility=1					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2215,3153,0	2215,3156,0	Step-over Tripwire 3921	8	Agility=1					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2215,3156,0	2215,3153,0	Step-over Tripwire 3921	8	Agility=1					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2217,3160,0	2217,3163,0	Enter Dense forest 3939	4	Agility=56					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2217,3163,0	2217,3160,0	Enter Dense forest 3939	4	Agility=56					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2217,3163,0	2217,3166,0	Enter Dense forest 3938	4	Agility=56					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2217,3166,0	2217,3163,0	Enter Dense forest 3938	4	Agility=56					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2217,3166,0	2217,3169,0	Enter Dense forest 3939	4	Agility=56					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2217,3169,0	2217,3166,0	Enter Dense forest 3939	4	Agility=56					-1	INHERITED	skretzo:agility_shortcuts.tsv
AGILITY_SHORTCUT	2220,3152,0	2220,3155,0	Step-over Tripwire 3921	8	Agility=1					-1	INHERITED	skretzo:agility_shortcuts.tsv
