# Openable objects decoded from the OSRS cache. Generated by dumpAccessPoints.
# covered=yes means our transport data already has a row within 1 tile.
x	y	plane	objectId	name	action	locType	orientation	covered	inShippedMap
2074	4891	0	32589	<col=ffff00>Meiyerditch citizen</col>	Escape	10	3	no	yes
2397	4379	0	12004	A gap through the wall	Squeeze-through	10	0	no	yes
2907	3049	1	23644	A wooden log	Cross	22	1	no	yes
2909	3049	1	23644	A wooden log	Cross	22	1	no	yes
2011	6432	0	49204	Abyssal Rift	Enter	10	1	no	no
1614	5352	0	25216	Aged log	Ride	10	1	no	yes
1633	5362	0	25216	Aged log	Ride	10	0	no	yes
1355	10258	0	34554	Alchemical door	Open	0	2	no	yes
1355	10259	0	34553	Alchemical door	Open	0	2	no	yes
3363	3321	0	23675	Alchemists Teleport	Enter	10	0	no	yes
1663	10047	0	28900	Altar	Teleport	10	0	no	yes
2939	5202	0	42965	Altar	Teleport	10	1	no	yes
2963	9477	1	12475	Anchor	Climb	10	2	no	yes
2963	9477	3	12475	Anchor	Climb	10	2	no	yes
3731	10282	1	30948	Anchor rope	Climb	10	0	no	yes
2762	9313	0	2930	Ancient Gate	Open	10	1	no	yes
2762	9317	0	2930	Ancient Gate	Open	10	3	no	yes
2809	9314	0	2923	Ancient Gate	Open	0	3	no	yes
2809	9332	0	2913	Ancient Gate	Open	0	3	no	yes
2810	9314	0	2922	Ancient Gate	Open	0	3	no	yes
2810	9332	0	2912	Ancient Gate	Open	0	3	no	yes
2928	9516	0	2255	Ancient metal gate	Open	0	1	no	yes
2929	9516	0	2256	Ancient metal gate	Open	0	1	no	yes
3413	4063	0	47344	Arena	Exit	10	0	no	no
3414	4062	1	47342	Arena	Enter	10	1	no	no
3414	4062	2	47343	Arena	Enter	10	1	no	no
3416	4063	0	47340	Arena	Enter	10	2	no	no
3422	4054	1	47342	Arena	Enter	10	0	no	no
3422	4054	2	47343	Arena	Enter	10	0	no	no
3422	4072	1	47342	Arena	Enter	10	2	no	no
