# Machine-readable review queue. One row per crossing; not an active transport file.
rank	routeAProven	detourSteps	detourCapped	edgeKey	from	to	direction	name	action	label
1	true	>512	true	2959,3334,2 N	2959,3335,2	2959,3334,2	S	Castle door	Open	Open Castle door
2	true	>512	true	2960,3334,2 N	2960,3335,2	2960,3334,2	S	Castle door	Open	Open Castle door
3	true	>512	true	2960,3342,2 N	2960,3342,2	2960,3343,2	N	Castle door	Open	Open Castle door
4	true	>512	true	2961,3342,2 N	2961,3342,2	2961,3343,2	N	Castle door	Open	Open Castle door
5	true	82	false	2964,3338,0 E	2965,3338,0	2964,3338,0	W	Castle door	Open	Open Castle door
6	true	82	false	2964,3339,0 E	2965,3339,0	2964,3339,0	W	Castle door	Open	Open Castle door
7	true	54	false	2970,3336,0 N	2970,3337,0	2970,3336,0	S	Castle door	Open	Open Castle door
8	true	54	false	2971,3336,0 N	2971,3337,0	2971,3336,0	S	Castle door	Open	Open Castle door
9	true	26	false	2981,3340,0 E	2981,3340,0	2982,3340,0	E	Castle door	Open	Open Castle door
10	true	26	false	2981,3341,0 E	2981,3341,0	2982,3341,0	E	Castle door	Open	Open Castle door
11	false	>512	true	2809,9313,0 N	2809,9314,0	2809,9313,0	S	Ancient Gate	Open	Open Ancient Gate
12	false	>512	true	2809,9331,0 N	2809,9332,0	2809,9331,0	S	Ancient Gate	Open	Open Ancient Gate
13	false	>512	true	2810,9313,0 N	2810,9314,0	2810,9313,0	S	Ancient Gate	Open	Open Ancient Gate
14	false	>512	true	2810,9331,0 N	2810,9332,0	2810,9331,0	S	Ancient Gate	Open	Open Ancient Gate
15	false	>512	true	2928,9516,0 N	2928,9516,0	2928,9517,0	N	Ancient metal gate	Open	Open Ancient metal gate
16	false	>512	true	2929,9516,0 N	2929,9516,0	2929,9517,0	N	Ancient metal gate	Open	Open Ancient metal gate
17	false	>512	true	2743,2767,0 E	2744,2767,0	2743,2767,0	W	Bamboo Door	Open	Open Bamboo Door
18	false	>512	true	2776,9195,0 E	2777,9195,0	2776,9195,0	W	Bamboo Door	Open	Open Bamboo Door
19	false	>512	true	2782,3057,0 E	2782,3057,0	2783,3057,0	E	Bamboo Door	Open	Open Bamboo Door
20	false	>512	true	2792,3054,0 E	2792,3054,0	2793,3054,0	E	Bamboo Door	Open	Open Bamboo Door
21	false	>512	true	2802,3058,0 E	2802,3058,0	2803,3058,0	E	Bamboo Door	Open	Open Bamboo Door
22	false	>512	true	2007,5914,0 E	2007,5914,0	2008,5914,0	E	Barrier	Pass	Pass Barrier
23	false	>512	true	2027,5914,0 E	2028,5914,0	2027,5914,0	W	Barrier	Pass	Pass Barrier
24	false	>512	true	2199,2842,0 E	2199,2842,0	2200,2842,0	E	Barrier	Pass	Pass Barrier
25	false	>512	true	2219,2842,0 E	2220,2842,0	2219,2842,0	W	Barrier	Pass	Pass Barrier
26	false	>512	true	3282,3382,0 E	3282,3382,0	3283,3382,0	E	Bedroom door	Open	Open Bedroom door
27	false	>512	true	2850,5333,2 E	2851,5333,2	2850,5333,2	W	Big door	Open	Open Big door
28	false	>512	true	2930,9644,0 E	2931,9644,0	2930,9644,0	W	Blue door	Open	Open Blue door
29	false	>512	true	3538,3261,0 N	3538,3261,0	3538,3262,0	N	Broken fence	Climb-over	Climb-over Broken fence
30	false	>512	true	3582,3263,0 N	3582,3263,0	3582,3264,0	N	Broken fence	Climb-over	Climb-over Broken fence
31	false	>512	true	3491,3230,0 N	3491,3230,0	3491,3231,0	N	Broken wall	Climb-over	Climb-over Broken wall
32	false	>512	true	2610,9195,1 E	2610,9195,1	2611,9195,1	E	Bronze Door	Open	Open Bronze Door
33	false	>512	true	3045,3371,0 N	3045,3371,0	3045,3372,0	N	Castle door	Open	Open Castle door
34	false	>512	true	3046,3371,0 N	3046,3371,0	3046,3372,0	N	Castle door	Open	Open Castle door
35	false	>512	true	3141,3638,1 N	3141,3638,1	3141,3639,1	N	Casual	Pass-Through	Pass-Through Casual
36	false	>512	true	3142,3638,1 N	3142,3638,1	3142,3639,1	N	Casual	Pass-Through	Pass-Through Casual
37	false	>512	true	1674,3678,2 E	1674,3678,2	1675,3678,2	E	Cell Door	Open	Open Cell Door
38	false	>512	true	1931,9447,0 E	1932,9447,0	1931,9447,0	W	Cell door	Open	Open Cell door
39	false	>512	true	2141,3901,0 E	2141,3901,0	2142,3901,0	E	Cell door	Open	Open Cell door
40	false	>512	true	2225,3798,0 E	2225,3798,0	2226,3798,0	E	Cell door	Open	Open Cell door
41	false	>512	true	2572,9705,0 E	2573,9705,0	2572,9705,0	W	Cell door	Open	Open Cell door
42	false	>512	true	2572,9708,0 E	2573,9708,0	2572,9708,0	W	Cell door	Open	Open Cell door
43	false	>512	true	2572,9711,0 E	2573,9711,0	2572,9711,0	W	Cell door	Open	Open Cell door
44	false	>512	true	2572,9714,0 E	2573,9714,0	2572,9714,0	W	Cell door	Open	Open Cell door
45	false	>512	true	2854,10055,1 E	2855,10055,1	2854,10055,1	W	Cell Door	Open	Open Cell Door
46	false	>512	true	3012,3189,0 E	3012,3189,0	3013,3189,0	E	Cell door	Open	Open Cell door
47	false	>512	true	3012,3192,0 E	3012,3192,0	3013,3192,0	E	Cell door	Open	Open Cell door
48	false	>512	true	3012,3195,0 E	3012,3195,0	3013,3195,0	E	Cell door	Open	Open Cell door
49	false	>512	true	3618,3377,0 N	3618,3378,0	3618,3377,0	S	Cell door	Open	Open Cell door
50	false	>512	true	3619,3379,0 E	3620,3379,0	3619,3379,0	W	Cell door	Open	Open Cell door
51	false	>512	true	2503,3062,0 E	2504,3062,0	2503,3062,0	W	City gate	Open	Open City gate
52	false	>512	true	2503,3063,0 E	2504,3063,0	2503,3063,0	W	City gate	Open	Open City gate
53	false	>512	true	2549,3027,0 N	2549,3028,0	2549,3027,0	S	City gate	Open	Open City gate
54	false	>512	true	2550,3027,0 N	2550,3028,0	2550,3027,0	S	City gate	Open	Open City gate
55	false	>512	true	3141,3638,0 N	3141,3639,0	3141,3638,0	S	Competitive	Pass-Through	Pass-Through Competitive
56	false	>512	true	3142,3638,0 N	3142,3639,0	3142,3638,0	S	Competitive	Pass-Through	Pass-Through Competitive
57	false	>512	true	1759,4711,0 N	1759,4712,0	1759,4711,0	S	Crack	Enter	Enter Crack
58	false	>512	true	2569,5189,0 N	2569,5190,0	2569,5189,0	S	Crack	Squeeze-through	Squeeze-through Crack
59	false	>512	true	2569,5194,0 N	2569,5194,0	2569,5195,0	N	Crack	Squeeze-through	Squeeze-through Crack
60	false	>512	true	2617,9827,0 N	2617,9827,0	2617,9828,0	N	Crack	Enter	Enter Crack
61	false	>512	true	1926,6223,0 E	1926,6223,0	1927,6223,0	E	Crevice	Squeeze-through	Squeeze-through Crevice
62	false	>512	true	1711,6113,0 E	1711,6113,0	1712,6113,0	E	Curtain	Open	Open Curtain
